Rank,Name,Role,Game Type,Map,Game Rank,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
17,Yoru,duelist,Competitive,Icebox,Silver 1,0.98, 15.2  /  15.5  /  4.1 ,47.2%,2.2%,214,0.1%,"6,930"
18,Cypher,sentinel,Competitive,Icebox,Silver 1,0.97, 14  /  14.4  /  4.6 ,47.1%,2.1%,196,0.2%,"6,575"
19,Skye,initiator,Competitive,Icebox,Silver 1,0.91, 13.7  /  15  /  7.2 ,47.0%,3.2%,196,0.1%,"9,942"
20,Harbor,controller,Competitive,Icebox,Silver 1,0.89, 13.4  /  15.1  /  5.5 ,45.5%,0.8%,193,0.1%,"2,585"
1,Brimstone,controller,Competitive,Fracture,Silver 1,0.98, 14.3  /  14.5  /  7.4 ,51.6%,7.0%,207,0.1%,"21,701"
2,Reyna,duelist,Competitive,Fracture,Silver 1,1.19, 18  /  15  /  4.7 ,50.9%,12.9%,256,0.1%,"40,184"
3,Phoenix,duelist,Competitive,Fracture,Silver 1,1.11, 16.5  /  14.9  /  4.6 ,50.7%,3.8%,237,0.1%,"11,909"
4,Killjoy,sentinel,Competitive,Fracture,Silver 1,0.98, 13.8  /  14  /  4.3 ,50.2%,6.7%,201,0.2%,"20,888"
5,Jett,duelist,Competitive,Fracture,Silver 1,1.11, 17  /  15.3  /  4 ,50.0%,7.0%,244,0.1%,"21,929"
6,Sage,sentinel,Competitive,Fracture,Silver 1,0.89, 12.9  /  14.5  /  6.9 ,50.0%,11.7%,185,0.1%,"36,640"
7,Raze,duelist,Competitive,Fracture,Silver 1,1.05, 16  /  15.3  /  5 ,49.6%,6.8%,237,0.1%,"21,084"
8,Viper,controller,Competitive,Fracture,Silver 1,0.96, 13.9  /  14.5  /  5.4 ,49.5%,4.3%,199,0.1%,"13,465"
9,Neon,duelist,Competitive,Fracture,Silver 1,1.01, 16  /  15.8  /  4.4 ,49.3%,3.7%,231,0.1%,"11,604"
10,Fade,initiator,Competitive,Fracture,Silver 1,0.92, 13.7  /  14.8  /  6.1 ,49.2%,4.4%,196,0.1%,"13,743"
11,Breach,initiator,Competitive,Fracture,Silver 1,0.94, 14.3  /  15.2  /  6.1 ,49.0%,5.4%,204,0.1%,"16,763"
12,Cypher,sentinel,Competitive,Fracture,Silver 1,0.98, 14  /  14.4  /  5 ,48.4%,3.5%,198,0.1%,"10,916"
13,Sova,initiator,Competitive,Fracture,Silver 1,0.95, 13.9  /  14.7  /  5.3 ,48.2%,3.2%,202,0.1%,"9,902"
14,Chamber,sentinel,Competitive,Fracture,Silver 1,1.07, 15.7  /  14.7  /  3.4 ,47.8%,2.9%,219,0.1%,"9,093"
15,Omen,controller,Competitive,Fracture,Silver 1,0.96, 14.5  /  15  /  5.8 ,47.7%,5.5%,205,0.1%,"17,063"
16,Astra,controller,Competitive,Fracture,Silver 1,1.0, 14.6  /  14.5  /  5.5 ,47.6%,1.0%,205,0.1%,"3,030"
17,KAY/O,initiator,Competitive,Fracture,Silver 1,0.9, 13.7  /  15.1  /  8.2 ,47.4%,3.3%,201,0.1%,"10,410"
18,Skye,initiator,Competitive,Fracture,Silver 1,0.9, 13.4  /  14.9  /  7.2 ,47.3%,3.8%,193,0.1%,"11,839"
19,Yoru,duelist,Competitive,Fracture,Silver 1,1.0, 15.1  /  15.2  /  4.4 ,46.0%,2.1%,217,0.1%,"6,590"
20,Harbor,controller,Competitive,Fracture,Silver 1,0.89, 13.5  /  15.1  /  5.5 ,45.1%,1.0%,192,0.1%,"3,177"
1,Astra,controller,Competitive,Pearl,Silver 1,1.03, 14.6  /  14.2  /  5.7 ,51.2%,1.7%,203,0.2%,"5,450"
2,Killjoy,sentinel,Competitive,Pearl,Silver 1,0.98, 13.7  /  14  /  4.3 ,51.0%,5.6%,198,0.2%,"17,558"
3,Reyna,duelist,Competitive,Pearl,Silver 1,1.18, 17.9  /  15.2  /  4.7 ,50.4%,13.0%,255,0.1%,"40,737"
4,Raze,duelist,Competitive,Pearl,Silver 1,1.04, 16.1  /  15.5  /  5.1 ,50.2%,6.2%,238,0.1%,"19,542"
5,Brimstone,controller,Competitive,Pearl,Silver 1,0.97, 14.2  /  14.6  /  7.5 ,50.0%,4.8%,206,0.1%,"15,126"
6,Phoenix,duelist,Competitive,Pearl,Silver 1,1.11, 16.8  /  15.1  /  4.8 ,49.8%,4.3%,241,0.1%,"13,481"
7,Jett,duelist,Competitive,Pearl,Silver 1,1.11, 17.1  /  15.4  /  4.1 ,49.8%,7.5%,243,0.1%,"23,392"
8,Fade,initiator,Competitive,Pearl,Silver 1,0.94, 14  /  14.9  /  6.3 ,49.7%,6.1%,200,0.1%,"19,148"
9,Viper,controller,Competitive,Pearl,Silver 1,0.96, 14.1  /  14.6  /  5.8 ,49.7%,5.7%,201,0.1%,"17,754"
10,Sage,sentinel,Competitive,Pearl,Silver 1,0.88, 12.9  /  14.6  /  7.1 ,49.6%,12.2%,184,0.1%,"38,071"
11,Skye,initiator,Competitive,Pearl,Silver 1,0.91, 13.6  /  14.9  /  7.7 ,49.2%,3.8%,196,0.1%,"11,933"
12,Cypher,sentinel,Competitive,Pearl,Silver 1,0.97, 13.9  /  14.3  /  5 ,49.1%,3.9%,195,0.2%,"12,097"
13,Neon,duelist,Competitive,Pearl,Silver 1,1.0, 16.1  /  16  /  4.4 ,48.0%,2.9%,231,0.1%,"9,232"
14,Sova,initiator,Competitive,Pearl,Silver 1,0.96, 14  /  14.5  /  5.4 ,47.9%,3.9%,203,0.1%,"12,154"
15,Breach,initiator,Competitive,Pearl,Silver 1,0.92, 14.1  /  15.3  /  6.2 ,47.5%,2.0%,203,0.1%,"6,165"
16,Yoru,duelist,Competitive,Pearl,Silver 1,1.0, 15.1  /  15.2  /  4.4 ,47.3%,2.4%,217,0.1%,"7,419"
17,Omen,controller,Competitive,Pearl,Silver 1,0.97, 14.6  /  15.1  /  5.8 ,47.3%,5.5%,206,0.1%,"17,290"
18,Harbor,controller,Competitive,Pearl,Silver 1,0.89, 13.4  /  15.2  /  5.8 ,47.2%,1.5%,190,0.1%,"4,633"
19,Chamber,sentinel,Competitive,Pearl,Silver 1,1.06, 15.5  /  14.5  /  3.4 ,47.1%,3.4%,216,0.1%,"10,596"
20,KAY/O,initiator,Competitive,Pearl,Silver 1,0.9, 13.8  /  15.3  /  8.1 ,45.4%,3.7%,202,0.1%,"11,531"
1,Phoenix,duelist,Competitive,Lotus,Silver 1,1.12, 16.7  /  15  /  4.5 ,51.2%,4.4%,240,0.1%,"13,613"
2,Brimstone,controller,Competitive,Lotus,Silver 1,0.97, 14.3  /  14.8  /  7.2 ,50.8%,4.8%,208,0.1%,"15,058"
3,Killjoy,sentinel,Competitive,Lotus,Silver 1,0.98, 13.8  /  14.2  /  4.1 ,50.8%,6.2%,199,0.2%,"19,297"
4,Reyna,duelist,Competitive,Lotus,Silver 1,1.18, 17.9  /  15.2  /  4.6 ,50.5%,13.1%,253,0.1%,"40,720"
5,Astra,controller,Competitive,Lotus,Silver 1,1.02, 14.8  /  14.5  /  5.4 ,50.0%,1.3%,207,0.1%,"4,130"
6,Sage,sentinel,Competitive,Lotus,Silver 1,0.9, 13.2  /  14.6  /  6.9 ,49.9%,11.5%,188,0.1%,"35,963"
7,Jett,duelist,Competitive,Lotus,Silver 1,1.1, 17  /  15.5  /  3.9 ,49.6%,7.3%,242,0.1%,"22,723"
8,Breach,initiator,Competitive,Lotus,Silver 1,0.93, 14.2  /  15.2  /  6.1 ,49.6%,3.9%,203,0.1%,"12,080"
9,Viper,controller,Competitive,Lotus,Silver 1,0.96, 14.1  /  14.8  /  5.4 ,49.5%,2.9%,202,0.1%,"8,978"
10,Sova,initiator,Competitive,Lotus,Silver 1,0.97, 14.2  /  14.7  /  5.2 ,49.5%,3.6%,205,0.1%,"11,202"
11,Raze,duelist,Competitive,Lotus,Silver 1,1.04, 16.1  /  15.5  /  5.1 ,49.3%,7.2%,238,0.1%,"22,348"
12,Neon,duelist,Competitive,Lotus,Silver 1,1.0, 16  /  15.9  /  4.2 ,49.0%,3.1%,229,0.1%,"9,516"
13,Fade,initiator,Competitive,Lotus,Silver 1,0.93, 13.9  /  15  /  6 ,48.9%,4.5%,197,0.1%,"14,120"
14,Chamber,sentinel,Competitive,Lotus,Silver 1,1.07, 15.6  /  14.7  /  3.3 ,48.7%,3.2%,217,0.1%,"10,099"
15,Skye,initiator,Competitive,Lotus,Silver 1,0.91, 13.6  /  14.9  /  7.5 ,48.6%,4.6%,196,0.1%,"14,358"
16,Cypher,sentinel,Competitive,Lotus,Silver 1,0.99, 14.2  /  14.4  /  4.7 ,47.9%,3.3%,199,0.2%,"10,329"
17,Omen,controller,Competitive,Lotus,Silver 1,0.97, 14.6  /  15.1  /  5.8 ,47.8%,7.2%,206,0.1%,"22,577"
18,Harbor,controller,Competitive,Lotus,Silver 1,0.9, 13.8  /  15.2  /  5.6 ,46.9%,1.6%,196,0.1%,"4,990"
19,KAY/O,initiator,Competitive,Lotus,Silver 1,0.9, 13.8  /  15.4  /  8.5 ,46.2%,3.8%,201,0.1%,"11,938"
20,Yoru,duelist,Competitive,Lotus,Silver 1,0.98, 15.1  /  15.4  /  4.3 ,45.6%,2.4%,215,0.1%,"7,386"
1,Killjoy,sentinel,Competitive,All,Silver 2,1.0, 14.1  /  14.1  /  4.2 ,50.7%,6.7%,202,0.2%,"140,233"
2,Brimstone,controller,Competitive,All,Silver 2,0.98, 14.4  /  14.7  /  7.6 ,50.6%,5.4%,208,0.1%,"114,207"
3,Phoenix,duelist,Competitive,All,Silver 2,1.12, 17  /  15.1  /  4.6 ,50.4%,3.9%,243,0.1%,"81,753"
4,Reyna,duelist,Competitive,All,Silver 2,1.18, 18.1  /  15.3  /  4.6 ,50.3%,13.1%,256,0.1%,"276,160"
5,Raze,duelist,Competitive,All,Silver 2,1.06, 16.5  /  15.5  /  5 ,50.3%,7.2%,242,0.1%,"150,469"
6,Sage,sentinel,Competitive,All,Silver 2,0.91, 13.3  /  14.6  /  7 ,50.2%,11.6%,190,0.1%,"244,203"
7,Jett,duelist,Competitive,All,Silver 2,1.12, 17.4  /  15.5  /  4 ,49.9%,8.1%,246,0.1%,"170,746"
8,Fade,initiator,Competitive,All,Silver 2,0.95, 14.1  /  14.9  /  6.2 ,49.6%,4.4%,201,0.1%,"93,342"
9,Sova,initiator,Competitive,All,Silver 2,0.98, 14.4  /  14.6  /  5.4 ,49.4%,4.6%,206,0.1%,"97,494"
10,Viper,controller,Competitive,All,Silver 2,0.99, 14.4  /  14.6  /  5.5 ,49.3%,4.3%,205,0.1%,"89,863"
11,Astra,controller,Competitive,All,Silver 2,1.03, 15  /  14.5  /  5.9 ,49.3%,1.4%,209,0.1%,"29,019"
12,Breach,initiator,Competitive,All,Silver 2,0.94, 14.4  /  15.3  /  6.1 ,49.0%,3.0%,205,0.1%,"63,219"
13,Skye,initiator,Competitive,All,Silver 2,0.93, 13.9  /  14.9  /  7.5 ,48.8%,3.7%,199,0.1%,"77,934"
14,Cypher,sentinel,Competitive,All,Silver 2,1.0, 14.4  /  14.4  /  4.9 ,48.5%,3.4%,201,0.2%,"72,264"
15,Neon,duelist,Competitive,All,Silver 2,1.01, 16.2  /  16  /  4.3 ,48.4%,2.6%,231,0.1%,"55,513"
16,Omen,controller,Competitive,All,Silver 2,0.99, 14.9  /  15.1  /  6.1 ,48.4%,6.9%,210,0.1%,"146,156"
17,Chamber,sentinel,Competitive,All,Silver 2,1.08, 15.9  /  14.7  /  3.3 ,47.9%,3.0%,220,0.1%,"63,475"
18,Yoru,duelist,Competitive,All,Silver 2,1.01, 15.5  /  15.4  /  4.3 ,47.3%,2.0%,220,0.1%,"41,222"
19,Harbor,controller,Competitive,All,Silver 2,0.91, 13.8  /  15.2  /  5.6 ,46.8%,1.0%,196,0.1%,"21,386"
20,KAY/O,initiator,Competitive,All,Silver 2,0.91, 14  /  15.4  /  8.3 ,46.7%,3.6%,204,0.1%,"74,747"
1,Killjoy,sentinel,Competitive,Split,Silver 2,1.01, 14.3  /  14.1  /  4.2 ,51.2%,6.5%,205,0.2%,"19,759"
2,Brimstone,controller,Competitive,Split,Silver 2,0.98, 14.6  /  14.8  /  7.8 ,50.9%,5.3%,210,0.1%,"16,143"
3,Raze,duelist,Competitive,Split,Silver 2,1.07, 16.7  /  15.7  /  5.2 ,50.8%,9.1%,246,0.1%,"27,652"
4,Sage,sentinel,Competitive,Split,Silver 2,0.93, 13.6  /  14.6  /  7.4 ,50.5%,12.9%,193,0.1%,"39,092"
5,Reyna,duelist,Competitive,Split,Silver 2,1.17, 18  /  15.4  /  4.6 ,50.3%,12.7%,255,0.1%,"38,531"
6,Astra,controller,Competitive,Split,Silver 2,1.05, 15.2  /  14.4  /  5.8 ,50.2%,1.6%,213,0.1%,"4,829"
7,Skye,initiator,Competitive,Split,Silver 2,0.94, 14  /  14.9  /  7.7 ,50.0%,4.1%,200,0.1%,"12,562"
8,Fade,initiator,Competitive,Split,Silver 2,0.95, 14.2  /  15  /  5.9 ,49.6%,4.1%,201,0.1%,"12,484"
9,Phoenix,duelist,Competitive,Split,Silver 2,1.12, 17  /  15.2  /  4.7 ,49.2%,3.6%,242,0.1%,"11,040"
10,Sova,initiator,Competitive,Split,Silver 2,0.98, 14.4  /  14.8  /  5.3 ,49.2%,3.6%,206,0.1%,"10,799"
11,Viper,controller,Competitive,Split,Silver 2,0.99, 14.5  /  14.6  /  5.3 ,49.2%,3.5%,205,0.1%,"10,487"
12,Jett,duelist,Competitive,Split,Silver 2,1.1, 17.2  /  15.6  /  4 ,49.1%,7.3%,243,0.1%,"22,306"
13,Omen,controller,Competitive,Split,Silver 2,1.0, 15.1  /  15.1  /  6.2 ,49.0%,7.8%,211,0.1%,"23,635"
14,Cypher,sentinel,Competitive,Split,Silver 2,1.01, 14.5  /  14.4  /  5 ,48.7%,4.5%,203,0.1%,"13,665"
15,Breach,initiator,Competitive,Split,Silver 2,0.94, 14.5  /  15.4  /  6.1 ,48.7%,2.7%,206,0.1%,"8,174"
16,Neon,duelist,Competitive,Split,Silver 2,1.0, 16.1  /  16  /  4.3 ,48.2%,2.2%,229,0.1%,"6,732"
17,Yoru,duelist,Competitive,Split,Silver 2,1.02, 15.7  /  15.4  /  4.4 ,48.0%,1.9%,220,0.1%,"5,656"
18,Chamber,sentinel,Competitive,Split,Silver 2,1.07, 15.9  /  14.9  /  3.3 ,47.0%,2.4%,221,0.1%,"7,320"
19,Harbor,controller,Competitive,Split,Silver 2,0.9, 13.7  /  15.2  /  5.5 ,45.5%,0.8%,195,0.1%,"2,481"
20,KAY/O,initiator,Competitive,Split,Silver 2,0.9, 13.9  /  15.4  /  8.2 ,45.2%,3.5%,202,0.1%,"10,523"
1,Brimstone,controller,Competitive,Ascent,Silver 2,0.98, 14.5  /  14.8  /  8.3 ,51.1%,6.1%,210,0.1%,"18,262"
2,Killjoy,sentinel,Competitive,Ascent,Silver 2,1.01, 14.1  /  14  /  4.2 ,50.5%,9.6%,203,0.2%,"28,920"
3,Sova,initiator,Competitive,Ascent,Silver 2,1.01, 14.7  /  14.5  /  5.7 ,50.5%,6.3%,210,0.1%,"18,952"
4,Raze,duelist,Competitive,Ascent,Silver 2,1.05, 16.4  /  15.6  /  5.2 ,50.5%,7.1%,242,0.1%,"21,300"
5,Phoenix,duelist,Competitive,Ascent,Silver 2,1.12, 17  /  15.3  /  4.8 ,50.0%,4.0%,243,0.1%,"11,969"
6,Astra,controller,Competitive,Ascent,Silver 2,1.05, 15.3  /  14.5  /  6.6 ,49.8%,1.5%,212,0.1%,"4,421"
7,Reyna,duelist,Competitive,Ascent,Silver 2,1.16, 17.9  /  15.4  /  4.7 ,49.8%,13.0%,253,0.1%,"39,166"
8,Sage,sentinel,Competitive,Ascent,Silver 2,0.91, 13.4  /  14.7  /  7.1 ,49.5%,10.6%,190,0.1%,"31,893"
9,Jett,duelist,Competitive,Ascent,Silver 2,1.1, 17.3  /  15.7  /  4 ,49.3%,8.6%,244,0.1%,"26,019"
10,Cypher,sentinel,Competitive,Ascent,Silver 2,1.01, 14.4  /  14.3  /  5.1 ,48.8%,3.0%,201,0.2%,"9,074"
11,Chamber,sentinel,Competitive,Ascent,Silver 2,1.08, 16.1  /  14.9  /  3.3 ,48.8%,2.6%,223,0.1%,"7,736"
12,Harbor,controller,Competitive,Ascent,Silver 2,0.94, 14.2  /  15.1  /  5.7 ,48.4%,0.7%,200,0.1%,"2,102"
13,Yoru,duelist,Competitive,Ascent,Silver 2,1.01, 15.6  /  15.5  /  4.3 ,48.3%,1.7%,219,0.1%,"5,167"
14,Omen,controller,Competitive,Ascent,Silver 2,0.99, 14.9  /  15  /  6.9 ,48.3%,8.0%,209,0.1%,"24,193"
15,Viper,controller,Competitive,Ascent,Silver 2,0.98, 14.4  /  14.7  /  5.5 ,48.0%,2.7%,204,0.1%,"8,024"
16,Breach,initiator,Competitive,Ascent,Silver 2,0.94, 14.4  /  15.4  /  6.2 ,48.0%,1.9%,205,0.1%,"5,803"
17,Skye,initiator,Competitive,Ascent,Silver 2,0.93, 13.9  /  15  /  7.5 ,48.0%,3.1%,198,0.1%,"9,437"
18,Fade,initiator,Competitive,Ascent,Silver 2,0.94, 14  /  14.9  /  6.2 ,47.9%,4.1%,199,0.1%,"12,236"
19,Neon,duelist,Competitive,Ascent,Silver 2,0.99, 15.8  /  16  /  4.2 ,47.3%,2.0%,226,0.1%,"6,062"
20,KAY/O,initiator,Competitive,Ascent,Silver 2,0.91, 14  /  15.4  /  8.3 ,46.7%,3.6%,203,0.1%,"10,711"
1,Brimstone,controller,Competitive,Haven,Silver 2,0.98, 14.3  /  14.6  /  7.7 ,51.3%,5.8%,207,0.1%,"17,673"
2,Phoenix,duelist,Competitive,Haven,Silver 2,1.13, 17.1  /  15.2  /  4.5 ,51.1%,4.2%,244,0.1%,"12,591"
3,Killjoy,sentinel,Competitive,Haven,Silver 2,0.98, 13.9  /  14.2  /  4 ,50.4%,6.3%,199,0.2%,"18,913"
4,Sage,sentinel,Competitive,Haven,Silver 2,0.92, 13.4  /  14.6  /  7 ,50.2%,11.7%,190,0.1%,"35,359"
5,Reyna,duelist,Competitive,Haven,Silver 2,1.17, 18  /  15.4  /  4.6 ,50.2%,13.2%,255,0.1%,"39,905"
6,Fade,initiator,Competitive,Haven,Silver 2,0.94, 14.1  /  14.9  /  6.3 ,50.1%,4.3%,201,0.1%,"12,928"
7,Raze,duelist,Competitive,Haven,Silver 2,1.06, 16.4  /  15.5  /  4.9 ,49.8%,6.6%,240,0.1%,"20,027"
8,Sova,initiator,Competitive,Haven,Silver 2,0.99, 14.3  /  14.5  /  5.3 ,49.7%,5.4%,205,0.1%,"16,334"
9,Jett,duelist,Competitive,Haven,Silver 2,1.12, 17.4  /  15.5  /  3.9 ,49.6%,8.6%,245,0.1%,"26,004"
10,Skye,initiator,Competitive,Haven,Silver 2,0.94, 14  /  15  /  7.4 ,49.4%,3.8%,200,0.1%,"11,579"
11,Viper,controller,Competitive,Haven,Silver 2,0.97, 14.3  /  14.7  /  5.4 ,49.4%,2.3%,202,0.1%,"6,830"
12,Astra,controller,Competitive,Haven,Silver 2,1.03, 15.1  /  14.6  /  5.9 ,49.1%,1.3%,208,0.1%,"4,003"
13,Cypher,sentinel,Competitive,Haven,Silver 2,1.01, 14.6  /  14.5  /  5 ,49.1%,3.5%,203,0.1%,"10,542"
14,Omen,controller,Competitive,Haven,Silver 2,0.99, 14.9  /  15  /  6.3 ,49.1%,9.1%,210,0.1%,"27,486"
15,Breach,initiator,Competitive,Haven,Silver 2,0.95, 14.6  /  15.3  /  6 ,48.4%,2.6%,206,0.1%,"7,878"
16,Chamber,sentinel,Competitive,Haven,Silver 2,1.06, 15.7  /  14.7  /  3.2 ,47.6%,3.1%,217,0.1%,"9,392"
17,KAY/O,initiator,Competitive,Haven,Silver 2,0.91, 13.9  /  15.2  /  8.4 ,47.2%,3.3%,203,0.1%,"9,970"
18,Yoru,duelist,Competitive,Haven,Silver 2,1.02, 15.6  /  15.3  /  4.2 ,47.2%,1.9%,221,0.1%,"5,818"
19,Neon,duelist,Competitive,Haven,Silver 2,1.01, 16  /  15.9  /  4.1 ,46.8%,2.4%,229,0.1%,"7,175"
20,Harbor,controller,Competitive,Haven,Silver 2,0.94, 14  /  14.9  /  5.6 ,46.6%,0.7%,201,0.1%,"2,081"
1,Jett,duelist,Competitive,Icebox,Silver 2,1.13, 17.6  /  15.6  /  4 ,50.9%,9.1%,250,0.1%,"27,304"
2,Reyna,duelist,Competitive,Icebox,Silver 2,1.19, 18.3  /  15.3  /  4.4 ,50.7%,13.4%,258,0.1%,"40,223"
3,Killjoy,sentinel,Competitive,Icebox,Silver 2,0.99, 14  /  14.1  /  4.1 ,50.4%,6.0%,201,0.2%,"17,952"
4,Sage,sentinel,Competitive,Icebox,Silver 2,0.91, 13.3  /  14.7  /  6.9 ,50.4%,13.1%,188,0.1%,"39,511"
5,Raze,duelist,Competitive,Icebox,Silver 2,1.05, 16.3  /  15.5  /  4.7 ,50.1%,6.9%,239,0.1%,"20,681"
6,Viper,controller,Competitive,Icebox,Silver 2,1.0, 14.5  /  14.6  /  5.5 ,49.9%,8.5%,206,0.1%,"25,694"
7,Phoenix,duelist,Competitive,Icebox,Silver 2,1.1, 16.7  /  15.1  /  4.3 ,49.9%,3.3%,238,0.1%,"9,891"
8,Fade,initiator,Competitive,Icebox,Silver 2,0.95, 14.1  /  14.9  /  6.2 ,49.7%,3.6%,201,0.1%,"10,962"
9,Sova,initiator,Competitive,Icebox,Silver 2,0.98, 14.3  /  14.7  /  5.3 ,49.2%,7.2%,203,0.1%,"21,794"
10,Chamber,sentinel,Competitive,Icebox,Silver 2,1.08, 15.9  /  14.7  /  3.2 ,49.0%,3.2%,220,0.1%,"9,644"
11,Brimstone,controller,Competitive,Icebox,Silver 2,0.96, 14.2  /  14.8  /  6.6 ,48.7%,3.5%,205,0.1%,"10,582"
12,Skye,initiator,Competitive,Icebox,Silver 2,0.94, 14  /  14.9  /  7.2 ,48.5%,2.9%,199,0.1%,"8,732"
13,Omen,controller,Competitive,Icebox,Silver 2,1.0, 15.2  /  15.3  /  5.3 ,48.2%,6.0%,214,0.1%,"18,169"
14,Neon,duelist,Competitive,Icebox,Silver 2,1.0, 16.2  /  16.1  /  4.2 ,48.1%,2.5%,232,0.1%,"7,608"
15,Astra,controller,Competitive,Icebox,Silver 2,1.01, 14.8  /  14.7  /  5.1 ,47.4%,0.7%,208,0.1%,"1,968"
16,Cypher,sentinel,Competitive,Icebox,Silver 2,0.97, 14.1  /  14.5  /  4.7 ,47.2%,1.9%,198,0.1%,"5,771"
17,Breach,initiator,Competitive,Icebox,Silver 2,0.93, 14.3  /  15.4  /  5.8 ,46.9%,1.5%,205,0.1%,"4,615"
18,Harbor,controller,Competitive,Icebox,Silver 2,0.91, 14  /  15.3  /  5.5 ,46.8%,0.8%,196,0.1%,"2,473"
19,Yoru,duelist,Competitive,Icebox,Silver 2,1.0, 15.4  /  15.4  /  4.1 ,46.7%,2.0%,218,0.1%,"6,008"
20,KAY/O,initiator,Competitive,Icebox,Silver 2,0.92, 14.1  /  15.4  /  8.3 ,46.6%,3.8%,205,0.1%,"11,500"
1,Phoenix,duelist,Competitive,Fracture,Silver 2,1.13, 16.9  /  14.9  /  4.6 ,51.3%,3.6%,242,0.1%,"10,835"
2,Killjoy,sentinel,Competitive,Fracture,Silver 2,1.0, 14.1  /  14.1  /  4.3 ,51.0%,6.7%,203,0.2%,"19,983"
3,Brimstone,controller,Competitive,Fracture,Silver 2,0.99, 14.4  /  14.6  /  7.7 ,50.6%,7.6%,208,0.1%,"22,575"
4,Sage,sentinel,Competitive,Fracture,Silver 2,0.9, 13.2  /  14.5  /  6.9 ,50.3%,10.8%,188,0.1%,"32,232"
5,Raze,duelist,Competitive,Fracture,Silver 2,1.06, 16.4  /  15.4  /  5 ,50.1%,6.8%,240,0.1%,"20,210"
6,Reyna,duelist,Competitive,Fracture,Silver 2,1.2, 18.2  /  15.1  /  4.6 ,50.1%,13.1%,258,0.1%,"39,000"
7,Breach,initiator,Competitive,Fracture,Silver 2,0.94, 14.3  /  15.2  /  6.2 ,49.9%,6.1%,204,0.1%,"18,203"
8,Jett,duelist,Competitive,Fracture,Silver 2,1.13, 17.4  /  15.4  /  4.1 ,49.9%,7.5%,247,0.1%,"22,530"
9,Sova,initiator,Competitive,Fracture,Silver 2,0.96, 14.1  /  14.6  /  5.4 ,49.1%,2.9%,204,0.1%,"8,697"
10,Fade,initiator,Competitive,Fracture,Silver 2,0.94, 14  /  14.9  /  6.2 ,49.1%,4.4%,199,0.1%,"13,005"
11,Skye,initiator,Competitive,Fracture,Silver 2,0.93, 13.8  /  14.8  /  7.2 ,49.0%,3.6%,198,0.1%,"10,604"
12,Viper,controller,Competitive,Fracture,Silver 2,0.98, 14.3  /  14.6  /  5.4 ,48.8%,4.4%,203,0.1%,"13,197"
13,Neon,duelist,Competitive,Fracture,Silver 2,1.03, 16.4  /  15.9  /  4.4 ,48.8%,3.6%,234,0.1%,"10,725"
14,KAY/O,initiator,Competitive,Fracture,Silver 2,0.92, 14.1  /  15.2  /  8.4 ,48.0%,3.3%,205,0.1%,"9,832"
15,Astra,controller,Competitive,Fracture,Silver 2,1.02, 14.9  /  14.5  /  5.8 ,47.3%,1.0%,208,0.1%,"3,007"
16,Omen,controller,Competitive,Fracture,Silver 2,0.98, 14.7  /  15  /  5.9 ,47.3%,5.1%,207,0.1%,"15,328"
17,Chamber,sentinel,Competitive,Fracture,Silver 2,1.07, 15.8  /  14.7  /  3.3 ,47.1%,3.0%,219,0.1%,"9,049"
18,Cypher,sentinel,Competitive,Fracture,Silver 2,0.99, 14.3  /  14.5  /  5 ,46.8%,3.6%,201,0.1%,"10,860"
19,Yoru,duelist,Competitive,Fracture,Silver 2,1.01, 15.4  /  15.3  /  4.3 ,45.5%,1.9%,219,0.1%,"5,600"
20,Harbor,controller,Competitive,Fracture,Silver 2,0.89, 13.4  /  15.2  /  5.7 ,44.9%,1.0%,192,0.1%,"3,047"
1,Killjoy,sentinel,Competitive,Pearl,Silver 2,0.99, 13.8  /  14  /  4.3 ,50.9%,5.4%,200,0.2%,"16,050"
2,Raze,duelist,Competitive,Pearl,Silver 2,1.07, 16.5  /  15.5  /  5.1 ,50.3%,6.3%,243,0.1%,"18,745"
3,Reyna,duelist,Competitive,Pearl,Silver 2,1.19, 18.3  /  15.3  /  4.7 ,50.3%,13.3%,259,0.1%,"39,842"
4,Fade,initiator,Competitive,Pearl,Silver 2,0.96, 14.3  /  14.9  /  6.3 ,50.1%,6.3%,203,0.1%,"18,733"
5,Sage,sentinel,Competitive,Pearl,Silver 2,0.89, 13  /  14.6  /  7.1 ,50.0%,11.5%,186,0.1%,"34,372"
6,Jett,duelist,Competitive,Pearl,Silver 2,1.12, 17.3  /  15.5  /  4 ,49.9%,8.0%,245,0.1%,"23,957"
7,Breach,initiator,Competitive,Pearl,Silver 2,0.95, 14.5  /  15.2  /  6.2 ,49.7%,2.1%,206,0.1%,"6,283"
8,Astra,controller,Competitive,Pearl,Silver 2,1.02, 14.6  /  14.3  /  5.9 ,49.7%,2.1%,204,0.1%,"6,374"
9,Brimstone,controller,Competitive,Pearl,Silver 2,0.97, 14.4  /  14.8  /  7.6 ,49.7%,4.9%,207,0.1%,"14,541"
10,Sova,initiator,Competitive,Pearl,Silver 2,0.97, 14.2  /  14.6  /  5.5 ,49.5%,3.6%,204,0.1%,"10,681"
11,Phoenix,duelist,Competitive,Pearl,Silver 2,1.13, 17.1  /  15.1  /  4.8 ,49.4%,4.3%,244,0.1%,"13,001"
